2,2,4,2,3,3,3,4,3,1,1,2,2,3,3,3,3,4,4,3,1,1,3,3,2,2,2,1,4,4,3,1,3,1,2,2,1,3,2,4,1,4,2,3,1,1,3,1,2,4,3,2,1,2,2,1.769803
2,3,3,3,2,2,2,1,4,3,2,4,2,1,3,1,2,1,1,3,3,2,2,3,3,3,3,2,3,4,3,1,4,3,2,3,3,1,2,3,4,3,1,4,4,3,4,3,4,1,3,4,1,2,2,1.895509
1,2,2,2,3,2,1,3,3,3,3,3,1,3,3,1,3,4,4,2,1,1,4,1,1,4,1,3,1,2,1,1,4,4,3,3,3,3,2,3,2,4,2,1,3,3,4,1,4,2,2,4,1,2,2,1.656248
2,3,3,4,3,3,2,2,3,3,2,1,3,3,2,3,1,3,4,1,1,4,3,4,2,4,2,4,3,1,4,4,1,1,1,1,1,4,2,2,4,3,3,2,1,3,4,2,2,2,2,3,2,4,2,1.564078
1,4,2,3,2,3,3,1,2,4,2,4,2,3,2,1,1,3,4,2,1,1,1,1,1,3,1,3,3,2,3,1,1,3,3,3,1,1,2,1,3,2,2,4,2,1,2,3,3,1,2,3,1,4,2,1.896179
2,4,3,1,1,4,4,4,3,3,3,3,4,3,4,4,1,2,4,4,1,2,4,4,2,4,4,3,2,3,4,4,4,1,3,2,2,2,4,4,3,4,4,1,3,3,4,1,2,2,2,3,2,2,2,1.273487
3,3,4,2,1,2,2,3,2,3,2,3,4,4,2,1,3,3,3,2,1,1,2,2,4,1,3,3,1,2,4,1,1,4,1,4,4,2,4,3,3,3,1,3,2,1,4,2,1,1,2,4,2,2,2,1.714285
3,3,3,2,1,1,4,3,2,2,1,3,1,2,4,3,2,3,3,4,1,1,3,4,3,4,2,1,4,2,1,1,2,2,4,4,4,1,4,3,1,2,3,3,1,4,3,3,4,2,4,2,3,3,2,1.482928
2,2,3,3,3,4,3,1,3,3,2,3,3,3,3,2,2,2,1,2,4,4,2,2,3,1,1,1,2,2,4,4,4,3,3,2,1,1,1,3,3,1,2,1,2,1,4,1,4,2,4,3,3,3,2,1.312425
2,2,2,2,2,4,2,1,3,2,2,1,2,2,1,2,2,2,1,1,2,1,1,1,1,3,1,3,3,2,1,3,4,3,3,2,3,1,2,1,3,2,2,2,1,3,4,1,3,3,1,4,2,4,2,2.441249
2,1,1,2,1,2,1,4,2,1,4,2,1,3,4,4,3,2,2,2,1,2,2,1,1,2,3,1,1,2,1,3,4,3,2,3,3,1,3,3,3,1,4,2,1,2,3,2,4,3,3,1,2,2,2,2.048458
